"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TESMIN",3.87319610397695,-1.05055229046257,2.44061122867863,-0.430446389051217,0.666870956825867,0.999972696140104
"CPT1A",98.0200447535282,-0.418445425577711,0.655087722248155,-0.638762430383635,0.522977492256649,0.999972696140104
"MRPL21",170.588601147381,0.0320268273313253,0.565857749502726,0.0565987253147463,0.954864849970508,0.999972696140104
"TPCN2",15.0636197581884,-0.462465865823697,1.37643736203256,-0.335987585472675,0.736880228202479,0.999972696140104
"CCND1",16.3616048874415,-1.28163923319052,1.40171414514943,-0.914337090501351,0.360539746854879,0.999972696140104
"LTO1",57.3313992777721,-0.104531377798588,0.769428498846974,-0.135855869590525,0.891935222897327,0.999972696140104
"FADD",26.4458260106637,-0.809853355996249,1.0340312656264,-0.783200066494749,0.433509635866287,0.999972696140104
"AP000879.1",0.737636272888603,0.798045644854807,4.80427638099466,0.16611151848212,0.86806918965362,0.999972696140104
"PPFIA1",60.7281151393038,0.610241819240629,0.789987119105165,0.772470594117867,0.43983575675784,0.999972696140104
"CTTN",15.2012013660118,-0.524300121619027,1.50365156789567,-0.34868458412395,0.727326118868104,0.999972696140104
"DHCR7",9.99204177976373,1.69156555496169,1.8477538933532,0.915471243787739,0.359944292063147,0.999972696140104
"AP002387.2",27.8355884330763,-0.17404853054412,1.02629655931287,-0.169588925310876,0.86533343270548,0.999972696140104
"NADSYN1",149.09540177712,-0.134140369305468,0.568379379124724,-0.236004989329552,0.813428798598763,0.999972696140104
"ALG1L9P",0.81671423812993,0.979766347333073,4.80466616894169,0.203919754855494,0.838416207289949,0.999972696140104
"FAM86C1",4.64343057447703,0.493518743503216,2.41733260964151,0.204158394064111,0.838229723280142,0.999972696140104
"AP002495.1",15.3279245163863,-0.366537271940304,1.3230237159409,-0.277045125891513,0.78174545627195,0.999972696140104
"RNF121",36.2007223009421,0.281135668735075,0.933230781935728,0.301249888213007,0.763223950321226,0.999972696140104
"IL18BP",37.9471169887426,0.16642925720756,0.913309177852036,0.182226633919278,0.85540487206964,0.999972696140104
"NUMA1",225.002193314718,-0.0527908684617474,0.517537579839115,-0.102003932696363,0.918753553528414,0.999972696140104
"AP002490.1",29.6914802526524,0.319938872136044,1.03779111230166,0.308288313846194,0.75786295749888,0.999972696140104
"LRTOMT",5.92827495236952,0.393926680534802,2.094196980469,0.188103929195133,0.850795181027677,0.999972696140104
"LAMTOR1",493.722772197963,0.0354669542620947,0.454085543381564,0.078106327715199,0.937743473785256,0.999972696140104
"ANAPC15",132.131158271757,-0.0745356474894075,0.585920883473271,-0.127211112612285,0.898773310246754,0.999972696140104
"FOLR2",17.4362004015972,0.359761289720345,1.33020331674484,0.270455865800065,0.786809566094784,0.999972696140104
"INPPL1",39.032265956933,-0.0860331198994253,0.901426900578648,-0.095441038917519,0.923964520491728,0.999972696140104
"CLPB",33.7056621705261,-0.670406485466579,0.938863491390447,-0.714061726347154,0.475189011378182,0.999972696140104
"AP005019.1",0.553219796479875,0.341386486769209,4.81060377733741,0.0709654136092997,0.9434252820052,0.999972696140104
"ARAP1",92.7336314278881,-0.168545891391635,0.653161771182808,-0.258046166857586,0.796371277406869,0.999972696140104
"STARD10",43.0325658127879,-0.372519560359095,0.856437714618732,-0.434963983954084,0.663588570100049,0.999972696140104
"AP002381.2",13.140257513874,1.60467364033082,1.56747941625556,1.02372868421081,0.305963443044779,0.999972696140104
"ATG16L2",131.954782681897,0.340887817975672,0.60354519031987,0.56480910368121,0.572203614255136,0.999972696140104
"FCHSD2",199.962078093049,-0.265519816967182,0.526217274790121,-0.504582098854666,0.613852385557285,0.999972696140104
"RELT",66.5218856299628,-0.810072627284969,0.771586690783199,-1.04987895328094,0.293773769246326,0.999972696140104
"AP000763.4",2.35174523423172,-1.98467100855966,3.34559254798072,-0.59321958071599,0.553034210112049,0.999972696140104
"FAM168A",24.8650070324947,-0.378133857414277,1.07657798410929,-0.351236847674463,0.725410668469376,0.999972696140104
"PLEKHB1",30.0102725883567,-0.0655289711931575,1.01130369452065,-0.0647965310007273,0.948336003508196,0.999972696140104
"RAB6A",146.698428058553,0.432538131770646,0.595674347543516,0.726131876510005,0.467757929191929,0.999972696140104
"MRPL48",95.5726183955747,0.044971090242457,0.652001700738903,0.0689738848709933,0.945010406834711,0.999972696140104
"COA4",127.464539512301,-0.112369221128245,0.638502245280317,-0.175988764266463,0.860302769496334,0.999972696140104
"PAAF1",36.6612145079341,0.583259842253862,1.03583428751806,0.563082193051744,0.57337891640608,0.999972696140104
"UCP2",2436.28601114349,0.142897349117626,0.401321556699889,0.356066966082476,0.72179041535783,0.999972696140104
"AP003717.4",28.2557163187492,1.00162366304043,1.08546191507247,0.92276260376538,0.356130933070118,0.999972696140104
"UCP3",1.54774104841762,-0.28359491433563,3.73922469469011,-0.0758432395727247,0.939543814966089,0.999972696140104
"C2CD3",30.198492092418,0.473148553386453,1.03784609525588,0.455894718445509,0.648465687657502,0.999972696140104
"PPME1",35.5349082184741,-0.29869875735357,0.93948178335259,-0.317939913946652,0.750530515311039,0.999972696140104
"PGM2L1",32.3533427436969,0.0226788596988228,0.978971447814159,0.0231660072921023,0.981517853577747,0.999972696140104
